,time,L_X,L_Y,L_P,L_V,R_X,R_Y,R_P,R_V,Event
14086,679208.185,960.5956649780272,542.6814258098602,3.1618804931640625,True,946.295928955078,522.9126334190369,3.37542724609375,True,
14087,679211.542,959.2411994934082,542.0694315433502,3.155136108398437,True,963.2455444335938,523.2794952392578,3.38421630859375,True,
14088,679214.807,962.262840270996,534.3753433227539,3.185394287109375,True,958.524055480957,529.7438979148865,3.362335205078125,True,
14089,679218.144,946.8866729736328,546.7497682571411,3.145660400390625,True,953.4652519226074,510.28721809387207,3.4231109619140625,True,
14090,679221.512,941.235122680664,542.5937175750732,3.1486968994140625,True,933.3415031433104,517.7756667137146,3.4185028076171875,True,
14091,679224.868,941.9943237304688,530.1171326637268,3.183135986328125,True,928.238410949707,539.6773624420166,3.335113525390625,True,
14092,679228.113,943.7311935424804,541.1292636394501,3.1510009765625,True,930.5286026000977,520.6620240211487,3.3959197998046875,True,
14093,679231.469,942.8487396240234,541.8031203746796,3.139266967773437,True,924.020290374756,530.3587889671326,3.3812255859375,True,
14094,679234.841,945.3898429870604,542.0004558563232,3.1444091796875,True,933.120574951172,523.4630870819092,3.39202880859375,True,
14095,679238.211,941.1417388916016,537.7157878875732,3.1714630126953125,True,944.153881072998,532.3203635215759,3.352325439453125,True,
14096,679241.555,943.4552764892578,548.6905825138092,3.136016845703125,True,946.2550735473632,509.58014488220215,3.432891845703125,True,
14097,679244.815,937.6040267944336,535.7636117935181,3.181243896484375,True,944.2951583862304,515.6238055229187,3.3975067138671875,True,
14098,679248.164,945.4591369628906,545.0264704227448,3.1419677734375,True,953.4653091430664,532.011501789093,3.355499267578125,True,
14099,679251.519,938.481273651123,544.739785194397,3.1549224853515625,True,956.6064262390136,532.1967029571533,3.356063842773437,True,
14100,679254.796,943.4734725952148,529.3168473243713,3.1923065185546875,True,950.112476348877,520.188946723938,3.400665283203125,True,
14101,679258.146,946.142635345459,543.5879588127136,3.157211303710937,True,939.9298095703124,514.3160676956177,3.4246826171875,True,
14102,679261.488,942.2147369384766,544.5731234550476,3.1396026611328125,True,940.5121994018556,504.85548734664917,3.435455322265625,True,
14103,679264.845,939.4199180603028,542.5228106975555,3.1317596435546875,True,949.141788482666,516.2787365913391,3.40155029296875,True,
14104,679268.205,946.9169998168944,543.4240651130676,3.138458251953125,True,949.9869918823242,517.9420065879822,3.39849853515625,True,
14105,679271.467,947.2099685668944,536.927604675293,3.174530029296875,True,953.6009788513184,524.4403982162476,3.384017944335937,True,
14106,679274.813,958.4532165527344,550.4093098640442,3.12371826171875,True,939.7204971313477,509.8163938522339,3.4207916259765625,True,
